ID_cellule	Longitude	Latitude	January	February	March	April	May	June	July	August	September	October	November	December	Min	Max	Range	Mean
ID65	-4.49	36.71	14.78949897	14.24679569	14.50651433	15.23745129	17.03015644	19.18174122	21.29861113	22.68839171	22.13681451	20.31381064	18.16627169	16.17615222	13.25078012	24.0466963	10.79591618	17.98101749
ID66	-4.39	35.11	14.84436091	14.196767	14.35162884	15.02144097	16.6084666	18.73183623	20.91056502	21.77339483	20.88916961	19.26568229	17.75955244	16.14151245	13.47580196	23.24248501	9.766683052	17.5411981
ID67	-4.39	35.21	14.88853128	14.22914822	14.36029267	15.01203183	16.58612007	18.71181182	20.88940149	21.74073499	20.84817574	19.22801375	17.76053258	16.17636948	13.53568358	23.19133682	9.65565324	17.53593033
ID68	-4.39	35.31	15.01552481	14.34783065	14.44636005	15.0789069	16.69726009	18.83485695	21.00948942	21.95007026	21.09130372	19.42386712	17.90693501	16.29896462	13.61803416	23.39876369	9.780729534	17.67511413
ID69	-4.39	35.41	15.05399866	14.39650818	14.5022289	15.14647252	16.81827199	18.96699728	21.14004505	22.17504984	21.34920158	19.63743065	18.03356015	16.34978277	13.55566725	23.63469418	10.07902693	17.7974623
ID70	-4.39	36.51	14.66060286	14.16797632	14.47847137	15.22833676	17.03951947	19.21208935	21.35469616	22.79278459	22.25635504	20.40328766	18.15857611	16.08638923	13.13172085	24.02289487	10.89117401	17.98659041
ID71	-4.39	36.61	14.63806108	14.13983356	14.44692938	15.20337785	17.02743388	19.21738776	21.37656671	22.81477928	22.27593471	20.42250138	18.16307847	16.0749433	13.03274304	24.02035897	10.98761594	17.98340228
ID72	-4.39	36.71	14.71128147	14.18877489	14.46725907	15.21193168	17.02399781	19.1982511	21.33914321	22.7549059	22.21302495	20.36947321	18.16383115	16.1296233	13.12774666	24.04104321	10.91329655	17.98095815
ID73	-4.29	35.21	14.89532933	14.24795351	14.37696699	15.01823658	16.60466723	18.74214161	20.93725005	21.84341501	20.94391197	19.29085643	17.80155004	16.18680724	13.52133784	23.20595389	9.684616059	17.5740905
ID74	-4.29	35.31	15.00907916	14.34643855	14.44818929	15.08233129	16.70967195	18.86291349	21.06246252	22.05772577	21.18349912	19.47565195	17.93972115	16.29850658	13.58661466	23.4372668	9.85065214	17.70634924
ID75	-4.29	35.41	15.04965074	14.39062497	14.49787542	15.14643811	16.82573985	18.99605899	21.20195727	22.28192554	21.44080487	19.68717141	18.0639778	16.35018319	13.53531748	23.68640452	10.15108703	17.82770068
ID76	-4.29	36.61	14.55927307	14.08645397	14.41264278	15.18308038	17.03414972	19.24295075	21.41825347	22.86238293	22.3397602	20.47391793	18.14800497	16.03395889	12.89419655	24.02187628	11.12767972	17.98290242
ID77	-4.29	36.71	14.49869442	14.03131253	14.36952577	15.16658351	17.02744112	19.23923507	21.39616944	22.86988127	22.36610154	20.50241464	18.14503264	15.99723004	12.82573909	23.96621425	11.14047516	17.9674685
