ID_taxon	Super_class	Order	Family	Genus	Species	Max_length	Vertical_Distribution	Littoral	Continental_shelf	Continental_slope	Open_ocean	Habitat_soft	Habitat_rocky	Habitat_posidonia	Min_depth	Max_depth	Migration	Reproduction	Sex_reversal	Semelparity	Behavior	Diet	Trophic_level	Origin
598	osteichthyen	Perciformes	Callionymidae	Callionymus	Callionymus_maculatus	16	Benthic	1	1	0	0	1	0	0	45	650	no	Oviparous	no	no	Solitary	Carnivorous	3.3	U
240	osteichthyen	Perciformes	Callionymidae	Callionymus	Callionymus_pusillus	14	Benthic	1	0	0	0	1	0	0	1	5	no	Oviparous	no	no	Solitary	Carnivorous	3.3	U
241	osteichthyen	Perciformes	Callionymidae	Callionymus	Callionymus_reticulatus	11	Benthic	1	0	0	0	1	0	0	1	110	no	Oviparous	no	no	Solitary	Carnivorous	3.3	U
242	osteichthyen	Perciformes	Callionymidae	Callionymus	Callionymus_risso	8	Benthic	0	1	0	0	1	0	0	10	80	no	Oviparous	no	no	Solitary	Carnivorous	3	U
243	osteichthyen	Perciformes	Carangidae	Campogramma	Campogramma_glaycos	75	Pelagic	0	0	0	1	0	0	0	15	30	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	4.5	U
244	osteichthyen	Perciformes	Caproidae	Capros	Capros_aper	16	Demersal	0	0	1	0	1	1	0	100	400	NA	Oviparous	no	no	Gregarious	Carnivorous	3.1	U
245	osteichthyen	Perciformes	Carangidae	Caranx	Caranx_crysos	70	Pelagic	1	1	0	0	0	0	0	1	100	no	Oviparous	no	no	Gregarious	Carnivorous	4.1	U
246	osteichthyen	Perciformes	Carangidae	Caranx	Caranx_hippos	100	Pelagic	1	1	1	0	0	0	0	1	350	Oceanodromous	Oviparous	no	no	Both	Carnivorous	3.6	U
247	osteichthyen	Perciformes	Carangidae	Caranx	Caranx_rhonchus	60	Pelagic	1	0	0	0	0	0	0	30	50	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	3.6	U
603	osteichthyen	Ophidiiformes	Carapidae	Carapus	Carapus_acus	20	Benthic	0	1	0	0	1	1	1	20	50	no	Oviparous	no	no	Solitary	Carnivorous	4	U
4	chondrichtyen	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus_altimus	300	Pelagic	0	1	0	1	0	0	0	90	300	Oceanodromous	Viviparous	no	no	Solitary	Carnivorous	4.5	A
5	chondrichtyen	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus_brachyurus	325	Pelagic	0	0	0	1	0	0	0	1	360	Oceanodromous	Viviparous	no	no	Solitary	Carnivorous	4.5	A
508	chondrichtyen	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus_brevipinna	325	Pelagic	0	0	0	1	0	0	0	1	75	Oceanodromous	Viviparous	no	no	Gregarious	Carnivorous	4.2	U
6	chondrichtyen	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus_falciformis	350	Pelagic	0	0	0	1	0	0	0	1	50	Oceanodromous	Viviparous	no	no	Solitary	Carnivorous	4.5	A
248	chondrichtyen	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus_limbatus	340	Pelagic	0	0	0	1	0	0	0	1	50	Amphidromous	Viviparous	no	no	Gregarious	Carnivorous	4.4	U
